GEO_ID,NAME,TSRR001_001,TSRR001_002,TSRR001_003,TSRR001_004,TSRR001_005,TSRR001_006,TSRR001_007,TSRR001_008,TSRR001_009,TSRR001_010,TSRR001_011,TSRR001_012,TSRR001_013,TSRR001_014,TSRR001_015,TSRR001_016,TSRR001_017,TSRR001_018,TSRR001_019,TSRR001_020,TSRR001_021,TSRR001_022,TSRR001_023,TSRR001_024,Unnamed: 26
13121001203,Census Tract 12.03; Fulton County; Georgia,56.1,3.5,0.7,60.3,61.0,4.0,0.9,65.9,62.1,3.9,0.7,66.7,67.3,4.3,0.9,72.5,6.1,6.5,58.8,63.0,70.9,76.0,12.9,13.5,
13121001204,Census Tract 12.04; Fulton County; Georgia,63.9,1.8,0.1,65.7,66.4,2.5,0.1,68.9,69.0,1.9,0.1,70.9,71.6,2.7,0.1,74.4,4.3,4.4,63.4,68.1,75.2,80.4,11.7,12.2,
13121001205,Census Tract 12.05; Fulton County; Georgia,51.1,1.5,0.1,52.8,55.4,2.1,0.2,57.7,56.3,1.6,0.1,58.0,60.9,2.2,0.2,63.3,5.6,5.7,51.1,54.3,65.5,69.4,13.4,15.3,
13121001206,Census Tract 12.06; Fulton County; Georgia,56.5,1.4,0.1,58.0,62.3,1.9,0.1,64.3,61.6,1.5,0.1,63.2,67.8,2.1,0.1,69.9,4.3,4.7,59.5,64.1,74.1,79.6,12.4,13.4,
13121001301,Census Tract 13.01; Fulton County; Georgia,61.5,2.6,0.1,64.1,64.7,3.0,0.1,67.8,64.8,2.7,0.1,67.5,68.2,3.2,0.2,71.5,2.4,2.5,63.4,67.9,74.2,79.4,11.4,11.7,
13121001302,Census Tract 13.02; Fulton County; Georgia,54.6,2.5,0.2,57.3,58.6,3.2,0.4,62.2,57.6,2.7,0.2,60.5,61.8,3.3,0.4,65.5,2.2,2.3,60.7,64.5,71.2,75.6,8.9,9.8,
13121001400,Census Tract 14; Fulton County; Georgia,69.1,1.9,0.1,71.0,73.4,2.1,0.1,75.6,73.0,2.0,0.1,75.0,77.5,2.2,0.1,79.8,3.3,3.4,68.5,72.7,76.2,80.8,7.9,8.7,
13121001501,Census Tract 15.01; Fulton County; Georgia,52.2,5.7,1.2,59.1,57.0,6.4,1.3,64.7,58.0,6.3,1.3,65.6,63.2,7.1,1.5,71.8,6.9,7.1,58.3,62.3,69.0,73.6,9.9,11.6,
13121001502,Census Tract 15.02; Fulton County; Georgia,61.2,2.4,0.2,63.8,64.8,2.8,0.5,68.1,65.7,2.6,0.2,68.6,69.5,3.0,0.5,73.0,4.7,4.8,60.5,64.9,72.8,77.9,10.8,11.2,
13121001600,Census Tract 16; Fulton County; Georgia,61.7,1.7,0.1,63.5,66.8,2.3,0.1,69.3,65.9,1.8,0.1,67.8,71.2,2.5,0.1,73.8,3.3,3.8,61.7,66.8,70.9,76.8,8.7,9.6,
13121001701,Census Tract 17.01; Fulton County; Georgia,39.2,3.5,0.4,43.2,42.4,4.1,0.6,47.0,42.2,3.8,0.5,46.5,45.4,4.4,0.6,50.4,4.4,4.4,44.4,48.1,58.8,63.4,18.2,19.6,
13121001702,Census Tract 17.02; Fulton County; Georgia,65.7,1.4,0.1,67.1,69.8,1.7,0.2,71.8,71.0,1.5,0.1,72.6,75.3,1.9,0.3,77.4,4.7,4.9,44.8,49.1,57.6,63.3,13.3,16.5,
13121001801,Census Tract 18.01; Fulton County; Georgia,44.7,6.8,1.2,52.7,49.3,8.7,1.7,59.7,46.0,7.0,1.2,54.3,50.7,9.0,1.8,61.5,1.4,1.5,49.0,53.6,58.5,63.8,9.5,12.9,
13121001802,Census Tract 18.02; Fulton County; Georgia,52.0,4.7,0.7,57.3,56.8,5.3,0.9,63.0,55.9,5.0,0.8,61.7,61.0,5.7,1.0,67.8,4.9,5.1,58.5,63.0,71.8,77.2,11.9,13.5,
13121001901,Census Tract 19.01; Fulton County; Georgia,19.3,2.0,1.1,22.4,21.7,2.0,1.1,24.8,41.5,4.2,1.9,47.6,46.7,4.2,1.9,52.8,52.4,53.5,31.3,33.9,65.2,70.6,48.9,49.7,
13121001902,Census Tract 19.02; Fulton County; Georgia,36.2,2.2,0.3,38.6,40.2,2.8,0.4,43.4,45.8,2.7,0.3,48.9,50.8,3.5,0.5,54.8,18.4,19.1,35.2,38.2,58.7,63.2,22.8,24.6,
13121002100,Census Tract 21; Fulton County; Georgia,41.7,3.0,0.3,45.1,46.8,3.7,0.6,51.1,46.1,3.4,0.3,49.8,51.6,4.1,0.7,56.4,6.0,7.3,28.1,29.9,65.9,69.9,53.5,54.5,
13121002300,Census Tract 23; Fulton County; Georgia,12.5,8.8,0.5,21.8,14.1,8.9,0.8,23.8,25.8,18.2,1.0,45.0,29.1,18.3,1.7,49.1,51.3,51.4,24.3,25.8,59.9,63.2,53.2,54.0,
13121002400,Census Tract 24; Fulton County; Georgia,24.0,12.4,0.8,37.1,27.1,13.0,0.9,41.0,33.0,17.0,1.1,51.0,37.3,17.8,1.3,56.4,26.2,26.2,38.2,39.9,71.8,74.7,38.6,39.3,
13121002500,Census Tract 25; Fulton County; Georgia,27.8,13.4,0.2,41.3,32.2,13.7,0.5,46.3,33.3,16.1,0.2,49.5,38.6,16.4,0.6,55.5,15.9,16.0,31.9,34.2,58.4,62.6,31.9,33.5,
13121002600,Census Tract 26; Fulton County; Georgia,34.3,6.9,1.7,42.9,38.8,7.6,1.7,48.1,40.2,8.1,2.0,50.3,45.4,9.0,2.0,56.4,13.8,13.8,29.7,32.5,52.7,57.7,37.8,39.5,
13121002801,Census Tract 28.01; Fulton County; Georgia,46.2,1.5,0.1,47.8,50.1,2.3,0.4,52.8,53.1,1.7,0.1,54.9,57.5,2.7,0.5,60.6,9.2,10.9,19.8,22.2,52.3,58.1,38.1,40.9,
13121002802,Census Tract 28.02; Fulton County; Georgia,23.2,5.7,1.5,30.5,26.4,6.8,2.1,35.3,26.5,6.5,1.7,34.8,29.9,7.7,2.4,40.0,7.7,10.6,34.0,35.9,63.6,67.3,39.5,41.2,
13121002900,Census Tract 29; Fulton County; Georgia,54.2,2.4,0.1,56.6,57.9,3.0,0.2,61.2,58.3,2.5,0.1,60.9,62.3,3.2,0.2,65.7,4.0,4.1,44.0,48.2,63.3,69.2,15.4,16.8,
13121003000,Census Tract 30; Fulton County; Georgia,55.1,1.8,0.1,57.1,59.3,2.6,0.2,62.1,58.8,2.0,0.1,60.9,63.2,2.7,0.2,66.1,2.8,3.3,63.5,69.0,75.5,82.0,9.9,11.9,
13121003100,Census Tract 31; Fulton County; Georgia,58.4,2.5,0.1,61.1,62.1,3.0,0.1,65.3,62.7,2.6,0.2,65.5,66.6,3.1,0.2,69.9,5.7,5.7,57.8,61.4,69.7,74.1,13.3,13.7,
13121003200,Census Tract 32; Fulton County; Georgia,62.5,2.9,0.5,65.9,66.6,3.2,0.7,70.5,67.4,3.1,0.6,71.0,71.7,3.5,0.7,75.8,5.3,5.6,54.9,58.6,72.0,76.7,18.3,19.1,
13121003500,Census Tract 35; Fulton County; Georgia,38.2,1.5,0.2,40.0,42.3,1.9,0.5,44.7,46.4,1.8,0.3,48.5,51.2,2.3,0.6,54.1,5.6,6.0,45.7,50.1,57.9,63.4,10.9,15.3,
13121003600,Census Tract 36; Fulton County; Georgia,43.1,4.2,1.0,48.3,47.6,4.9,1.3,53.8,46.1,4.5,1.1,51.7,50.8,5.3,1.4,57.5,5.5,6.0,51.9,54.7,68.9,72.5,16.0,18.3,
13121003700,Census Tract 37; Fulton County; Georgia,19.4,48.8,2.5,70.6,20.0,49.4,2.5,71.9,22.3,56.1,2.9,81.3,23.0,56.8,2.9,82.7,13.1,13.1,0.0,0.0,,,100.0,100.0,
13121003800,Census Tract 38; Fulton County; Georgia,17.4,1.3,0.4,19.2,19.5,1.3,0.9,21.7,24.5,1.9,0.6,27.1,27.1,1.9,1.3,30.3,25.3,25.9,21.0,22.1,45.3,47.6,37.3,41.0,
13121003900,Census Tract 39; Fulton County; Georgia,22.9,11.3,0.6,34.9,26.5,11.6,1.3,39.4,28.0,13.8,0.8,42.6,32.3,14.1,1.6,47.9,17.2,17.2,35.1,37.8,64.2,69.1,38.6,39.6,
13121004000,Census Tract 40; Fulton County; Georgia,30.2,20.2,0.9,51.3,33.6,20.7,1.0,55.3,35.9,24.0,1.1,61.0,39.8,24.6,1.2,65.6,15.2,15.2,49.3,53.4,71.4,77.2,24.3,27.7,
13121004100,Census Tract 41; Fulton County; Georgia,41.3,4.5,1.2,47.0,44.7,5.1,1.5,51.3,48.4,5.3,1.4,55.1,52.3,6.0,1.7,60.1,13.6,13.7,36.0,38.4,62.1,65.6,36.7,37.0,
13121004200,Census Tract 42; Fulton County; Georgia,29.0,23.3,0.6,52.9,33.3,23.6,1.2,58.0,31.3,25.2,0.6,57.1,35.9,25.5,1.3,62.7,5.8,5.8,51.5,53.4,69.8,72.1,12.7,22.0,
13121004300,Census Tract 43; Fulton County; Georgia,44.0,3.2,1.2,48.4,46.4,3.8,1.7,51.9,49.4,3.6,1.4,54.4,52.2,4.1,1.9,58.2,10.7,10.7,46.3,51.1,57.0,62.9,8.2,12.1,
13121004400,Census Tract 44; Fulton County; Georgia,37.8,6.0,1.8,45.5,40.8,6.6,2.1,49.4,43.7,7.0,2.0,52.7,47.2,7.6,2.4,57.1,13.0,13.3,48.9,52.1,63.8,67.8,15.6,20.6,
13121004800,Census Tract 48; Fulton County; Georgia,37.6,8.8,2.0,48.4,44.9,10.0,3.2,58.1,39.9,9.4,2.1,51.4,47.6,10.7,3.4,61.8,5.0,5.3,52.0,55.3,65.0,69.2,14.8,17.3,
13121004900,Census Tract 49; Fulton County; Georgia,62.6,3.9,0.8,67.2,66.6,4.7,0.9,72.2,66.0,4.1,0.9,70.9,70.0,4.8,1.0,75.8,3.2,3.4,68.6,73.1,77.4,82.5,6.8,8.8,
13121005000,Census Tract 50; Fulton County; Georgia,55.8,1.8,0.2,57.8,61.1,2.2,0.3,63.6,61.4,2.0,0.2,63.6,67.0,2.4,0.3,69.7,6.0,6.1,58.1,61.5,71.6,75.7,11.7,13.7,
